ICD3;Name_deutsch;Name_englisch;Cluster
G11;Hereditäre Ataxie;Hereditary ataxia;4
G12;Spinale Muskelatrophie und verwandte Syndrome;Spinal muscular atrophy and related syndromes;4
G13;Systematrophien, vorwiegend das Zentralnervensystem betreffend, bei anderenorts klassifizierten Krankheiten;Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere;4
G14;Postpolio-Syndrom;Postpolio syndrome;
G20;Primäres Parkinson-Syndrom;Parkinson's disease;1
G21;Sekundäres Parkinson-Syndrom;Secondary parkinsonism;4
G22;Parkinson-Syndrom bei anderenorts klassifizierten Krankheiten;Parkinsonism in diseases classified elsewhere;4
G23;Sonstige degenerative Krankheiten der Basalganglien;Other degenerative diseases of basal ganglia;4
G24;Dystonie;Dystonia;4
G25;Sonstige extrapyramidale Krankheiten und Bewegungsstörungen;Other extrapyramidal and movement disorders;3
G26;Extrapyramidale Krankheiten und Bewegungsstörungen bei anderenorts klassifizierten Krankheiten;Extrapyramidal and movement disorders in diseases classified elsewhere;
G30;Alzheimer-Krankheit (F00.-*);Alzheimer's disease;1
G31;Sonstige degenerative Krankheiten des Nervensystems, anderenorts nicht klassifiziert;Other degenerative diseases of nervous system, not elsewhere classified;1
G32;Sonstige degenerative Krankheiten des Nervensystems bei anderenorts klassifizierten Krankheiten;Other degenerative disorders of nervous system in diseases classified elsewhere;4
G35;Multiple Sklerose [Encephalomyelitis disseminata];Multiple sclerosis;4
G36;Sonstige akute disseminierte Demyelinisation;Other acute disseminated demyelination;4
G37;Sonstige demyelinisierende Krankheiten des Zentralnervensystems;Other demyelinating diseases of central nervous system;4
G40;Epilepsie;Epilepsy and recurrent seizures;1
G41;Status epilepticus;Status epilepticus;4
G43;Migräne;Migraine;3
G44;Sonstige Kopfschmerzsyndrome;Other headache syndromes;3
G45;Zerebrale transitorische Ischämie und verwandte Syndrome;Transient cerebral ischemic attacks and related syndromes;1
G46;Zerebrale Gefäßsyndrome bei zerebrovaskulären Krankheiten (I60-I67†);Vascular syndromes of brain in cerebrovascular diseases;1
G47;Schlafstörungen;Sleep disorders;3
G50;Krankheiten des N. trigeminus [V. Hirnnerv];Disorders of trigeminal nerve;3
G51;Krankheiten des N. facialis [VII. Hirnnerv];Facial nerve disorders;1
G52;Krankheiten sonstiger Hirnnerven;Disorders of other cranial nerves;4
G53;Krankheiten der Hirnnerven bei anderenorts klassifizierten Krankheiten;Cranial nerve disorders in diseases classified elsewhere;4
G54;Krankheiten von Nervenwurzeln und Nervenplexus;Nerve root and plexus disorders;3
G55;Kompression von Nervenwurzeln und Nervenplexus bei anderenorts klassifizierten Krankheiten;Nerve root and plexus compressions in diseases classified elsewhere;3
G56;Mononeuropathien der oberen Extremität;Mononeuropathies of upper limb;3
G57;Mononeuropathien der unteren Extremität;Mononeuropathies of lower limb;3
G58;Sonstige Mononeuropathien;Other mononeuropathies;3
G59;Mononeuropathie bei anderenorts klassifizierten Krankheiten;Mononeuropathy in diseases classified elsewhere;4
G60;Hereditäre und idiopathische Neuropathie;Hereditary and idiopathic neuropathy;4
G61;Polyneuritis;Inflammatory polyneuropathy;4
G62;Sonstige Polyneuropathien;Other and unspecified polyneuropathies;1
G63;Polyneuropathie bei anderenorts klassifizierten Krankheiten;Polyneuropathy in diseases classified elsewhere;1
G64;Sonstige Krankheiten des peripheren Nervensystems;Other disorders of peripheral nervous system;4
G65;;Sequelae of inflammatory and toxic polyneuropathies;
G70;Myasthenia gravis und sonstige neuromuskuläre Krankheiten;Myasthenia gravis and other myoneural disorders;4
G71;Primäre Myopathien;Primary disorders of muscles;4
G72;Sonstige Myopathien;Other and unspecified myopathies;4
G73;Krankheiten im Bereich der neuromuskulären Synapse und des Muskels bei anderenorts klassifizierten Krankheiten;Disorders of myoneural junction and muscle in diseases classified elsewhere;1
G80;Infantile Zerebralparese;Cerebral palsy;4
G81;Hemiparese und Hemiplegie;Hemiplegia and hemiparesis;1
G82;Paraparese und Paraplegie, Tetraparese und Tetraplegie;Paraplegia (paraparesis) and quadriplegia (quadriparesis);1
G83;Sonstige Lähmungssyndrome;Other paralytic syndromes;1
G89;;Pain, not elsewhere classified;
G90;Krankheiten des autonomen Nervensystems;Disorders of autonomic nervous system;4
G91;Hydrozephalus;Hydrocephalus;4
G92;Toxische Enzephalopathie;Toxic encephalopathy;1
G93;Sonstige Krankheiten des Gehirns;Other disorders of brain;4
G94;Sonstige Krankheiten des Gehirns bei anderenorts klassifizierten Krankheiten;Other disorders of brain in diseases classified elsewhere;0
G95;Sonstige Krankheiten des Rückenmarkes;Other and unspecified diseases of spinal cord;4
G96;Sonstige Krankheiten des Zentralnervensystems;Other disorders of central nervous system;4
G97;Krankheiten des Nervensystems nach medizinischen Maßnahmen, anderenortsnicht klassifiziert;Intraoperative and postprocedural complications and disorders of nervous system, not elsewhere classified;4
G98;Sonstige Krankheiten des Nervensystems, anderenorts nicht klassifiziert;Other disorders of nervous system not elsewhere classified;4
G99;Sonstige Krankheiten des Nervensystems bei anderenorts klassifizierten Krankheiten;Other disorders of nervous system in diseases classified elsewhere;1
H00;Hordeolum und Chalazion;Hordeolum and chalazion;3
H01;Sonstige Entzündung des Augenlides;Other inflammation of eyelid;3
H02;Sonstige Affektionen des Augenlides;Other disorders of eyelid;3
H03;Affektionen des Augenlides bei anderenorts klassifizierten Krankheiten;Disorders of eyelid in diseases classified elsewhere;3
H04;Affektionen des Tränenapparates;Disorders of lacrimal system;3
H05;Affektionen der Orbita;Disorders of orbit;2
H06;Affektionen des Tränenapparates und der Orbita bei anderenorts klassifizierten Krankheiten;Disorders of lacrimal system and orbit in diseases classified elsewhere;4
H10;Konjunktivitis;Conjunctivitis;0
H11;Sonstige Affektionen der Konjunktiva;Other disorders of conjunctiva;1
H13;Affektionen der Konjunktiva bei anderenorts klassifizierten Krankheiten;Disorders of conjunctiva in diseases classified elsewhere;4
H15;Affektionen der Sklera;Disorders of sclera;4
H16;Keratitis;Keratitis;4
H17;Hornhautnarben und -trübungen;Corneal scars and opacities;4
H18;Sonstige Affektionen der Hornhaut;Other disorders of cornea;1
H19;Affektionen der Sklera und der Hornhaut bei anderenorts klassifiziertenKrankheiten;Disorders of sclera and cornea in diseases classified elsewhere;4
H20;Iridozyklitis;Iridocyclitis;1
H21;Sonstige Affektionen der Iris und des Ziliarkörpers;Other disorders of iris and ciliary body;4
H22;Affektionen der Iris und des Ziliarkörpers bei anderenorts klassifizierten Krankheiten;Disorders of iris and ciliary body in diseases classified elsewhere;0
H25;Cataracta senilis;Age-related cataract;1
H26;Sonstige Kataraktformen;Other cataract;1
H27;Sonstige Affektionen der Linse;Other disorders of lens;1
H28;Katarakt und sonstige Affektionen der Linse bei anderenorts klassifizierten Krankheiten;Cataract in diseases classified elsewhere;4
H30;Chorioretinitis;Chorioretinal inflammation;4
H31;Sonstige Affektionen der Aderhaut;Other disorders of choroid;1
H32;Chorioretinale Affektionen bei anderenorts klassifizierten Krankheiten;Chorioretinal disorders in diseases classified elsewhere;1
H33;Netzhautablösung und Netzhautriss;Retinal detachments and breaks;1
H34;Netzhautgefäßverschluss;Retinal vascular occlusions;1
H35;Sonstige Affektionen der Netzhaut;Other retinal disorders;1
H36;Affektionen der Netzhaut bei anderenorts klassifizierten Krankheiten;Retinal disorders in diseases classified elsewhere;1
H40;Glaukom;Glaucoma;1
H42;Glaukom bei anderenorts klassifizierten Krankheiten;Glaucoma in diseases classified elsewhere;4
H43;Affektionen des Glaskörpers;Disorders of vitreous body;1
H44;Affektionen des Augapfels;Disorders of globe;1
H45;Affektionen des Glaskörpers und des Augapfels bei anderenorts klassifizierten Krankheiten;Disorders of vitreous body and globe in diseases classified elsewhere;1
H46;Neuritis nervi optici;Optic neuritis;3
H47;Sonstige Affektionen des N. opticus [II. Hirnnerv] und der Sehbahn;Other disorders of optic [2nd] nerve and visual pathways;1
H48;Affektionen des N. opticus [II. Hirnnerv] und der Sehbahn bei anderenorts klassifizierten Krankheiten;Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere;1
H49;Strabismus paralyticus;Paralytic strabismus;4
H50;Sonstiger Strabismus;Other strabismus;0
H51;Sonstige Störungen der Blickbewegungen;Other disorders of binocular movement;4
H52;Akkommodationsstörungen und Refraktionsfehler;Disorders of refraction and accommodation;1
H53;Sehstörungen;Visual disturbances;1
H54;Blindheit und Sehschwäche;Blindness and low vision;1
H55;Nystagmus und sonstige abnorme Augenbewegungen;Nystagmus and other irregular eye movements;4
H57;Sonstige Affektionen des Auges und der Augenanhangsgebilde;Other disorders of eye and adnexa;4
H58;Sonstige Affektionen des Auges und der Augenanhangsgebilde bei anderenorts klassifizierten Krankheiten;Other disorders of eye and adnexa in diseases classified elsewhere;4
H59;Affektionen des Auges und der Augenanhangsgebilde nach medizinischen Maßnahmen, anderenorts nicht klassifiziert;Intraoperative and postprocedural complications and disorders of eye and adnexa, not elsewhere classified;1
H60;Otitis externa;Otitis externa;0
H61;Sonstige Krankheiten des äußeren Ohres;Other disorders of external ear;1
H62;Krankheiten des äußeren Ohres bei anderenorts klassifizierten Krankheiten;Disorders of external ear in diseases classified elsewhere;4
H65;Nichteitrige Otitis media;Nonsuppurative otitis media;0
H66;Eitrige und nicht näher bezeichnete Otitis media;Suppurative and unspecified otitis media;0
H67;Otitis media bei anderenorts klassifizierten Krankheiten;Otitis media in diseases classified elsewhere;0
H68;Entzündung und Verschluss der Tuba auditiva;Eustachian salpingitis and obstruction;0
H69;Sonstige Krankheiten der Tuba auditiva;Other and unspecified disorders of Eustachian tube;0
H70;Mastoiditis und verwandte Zustände;Mastoiditis and related conditions;4
H71;Cholesteatom des Mittelohres;Cholesteatoma of middle ear;0
H72;Trommelfellperforation;Perforation of tympanic membrane;4
H73;Sonstige Krankheiten des Trommelfells;Other disorders of tympanic membrane;0
H74;Sonstige Krankheiten des Mittelohres und des Warzenfortsatzes;Other disorders of middle ear mastoid;4
H75;Sonstige Krankheiten des Mittelohres und des Warzenfortsatzes bei anderenorts klassifizierten Krankheiten;Other disorders of middle ear and mastoid in diseases classified elsewhere;
H80;Otosklerose;Otosclerosis;4
H81;Störungen der Vestibularfunktion;Disorders of vestibular function;1
H82;Schwindelsyndrome bei anderenorts klassifizierten Krankheiten;Vertiginous syndromes in diseases classified elsewhere;4
H83;Sonstige Krankheiten des Innenohres;Other diseases of inner ear;4
H90;Hörverlust durch Schallleitungs- oder Schallempfindungsstörung;Conductive and sensorineural hearing loss;1
H91;Sonstiger Hörverlust;Other and unspecified hearing loss;1
H92;Otalgie und Ohrenfluss;Otalgia and effusion of ear;0
H93;Sonstige Krankheiten des Ohres, anderenorts nicht klassifiziert;Other disorders of ear, not elsewhere classified;3
H94;Sonstige Krankheiten des Ohres bei anderenorts klassifizierten Krankheiten;Other disorders of ear in diseases classified elsewhere;4
H95;Krankheiten des Ohres und des Warzenfortsatzes nach medizinischen Maßnahmen, anderenorts nicht klassifiziert;Intraoperative and postprocedural complications and disorders of ear and mastoid process, not elsewhere classified;4
I00;Rheumatisches Fieber ohne Angabe einer Herzbeteiligung;Rheumatic fever without heart involvement;4
I01;Rheumatisches Fieber mit Herzbeteiligung;Rheumatic fever with heart involvement;3
I02;Rheumatische Chorea;Rheumatic chorea;
I05;Rheumatische Mitralklappenkrankheiten;Rheumatic mitral valve diseases;1
I06;Rheumatische Aortenklappenkrankheiten;Rheumatic aortic valve diseases;1
I07;Rheumatische Trikuspidalklappenkrankheiten;Rheumatic tricuspid valve diseases;1
I08;Krankheiten mehrerer Herzklappen;Multiple valve diseases;1
I09;Sonstige rheumatische Herzkrankheiten;Other rheumatic heart diseases;4
I10;Essentielle (primäre) Hypertonie;Essential (primary) hypertension;1
I11;Hypertensive Herzkrankheit;Hypertensive heart disease;1
I12;Hypertensive Nierenkrankheit;Hypertensive chronic kidney disease;1
I13;Hypertensive Herz- und Nierenkrankheit;Hypertensive heart and chronic kidney disease;1
I15;Sekundäre Hypertonie;Secondary hypertension;2
I20;Angina pectoris;Angina pectoris;1
I21;Akuter Myokardinfarkt;ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction;1
I22;Rezidivierender Myokardinfarkt;Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction;4
I23;Bestimmte akute Komplikationen nach akutem Myokardinfarkt;Certain current complications following ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction (within the 28 day period);4
I24;Sonstige akute ischämische Herzkrankheit;Other acute ischemic heart diseases;4
I25;Chronische ischämische Herzkrankheit;Chronic ischemic heart disease;1
I26;Lungenembolie;Pulmonary embolism;1
I27;Sonstige pulmonale Herzkrankheiten;Other pulmonary heart diseases;1
I28;Sonstige Krankheiten der Lungengefäße;Other diseases of pulmonary vessels;0
I30;Akute Perikarditis;Acute pericarditis;4
I31;Sonstige Krankheiten des Perikards;Other diseases of pericardium;4
I32;Perikarditis bei anderenorts klassifizierten Krankheiten;Pericarditis in diseases classified elsewhere;
I33;Akute und subakute Endokarditis;Acute and subacute endocarditis;4
I34;Nichtrheumatische Mitralklappenkrankheiten;Nonrheumatic mitral valve disorders;1
I35;Nichtrheumatische Aortenklappenkrankheiten;Nonrheumatic aortic valve disorders;1
I36;Nichtrheumatische Trikuspidalklappenkrankheiten;Nonrheumatic tricuspid valve disorders;1
I37;Pulmonalklappenkrankheiten;Nonrheumatic pulmonary valve disorders;4
I38;Endokarditis, Herzklappe nicht näher bezeichnet;Endocarditis, valve unspecified;4
I39;Endokarditis und Herzklappenkrankheiten bei anderenorts klassifiziertenKrankheiten;Endocarditis and heart valve disorders in diseases classified elsewhere;4
I40;Akute Myokarditis;Acute myocarditis;3
I41;Myokarditis bei anderenorts klassifizierten Krankheiten;Myocarditis in diseases classified elsewhere;4
I42;Kardiomyopathie;Cardiomyopathy;1
I43;Kardiomyopathie bei anderenorts klassifizierten Krankheiten;Cardiomyopathy in diseases classified elsewhere;4
I44;Atrioventrikulärer Block und Linksschenkelblock;Atrioventricular and left bundle-branch block;1
I45;Sonstige kardiale Erregungsleitungsstörungen;Other conduction disorders;1
I46;Herzstillstand;Cardiac arrest;4
I47;Paroxysmale Tachykardie;Paroxysmal tachycardia;1
I48;Vorhofflimmern und Vorhofflattern;Atrial fibrillation and flutter;1
I49;Sonstige kardiale Arrhythmien;Other cardiac arrhythmias;1
I50;Herzinsuffizienz;Heart failure;1
I51;Komplikationen einer Herzkrankheit und ungenau beschriebene Herzkrankheit;Complications and ill-defined descriptions of heart disease;1
I52;Sonstige Herzkrankheiten bei anderenorts klassifizierten Krankheiten;Other heart disorders in diseases classified elsewhere;4
I60;Subarachnoidalblutung;Nontraumatic subarachnoid hemorrhage;1
I61;Intrazerebrale Blutung;Nontraumatic intracerebral hemorrhage;1
I62;Sonstige nichttraumatische intrakranielle Blutung;Other and unspecified nontraumatic intracranial hemorrhage;4
I63;Hirninfarkt;Cerebral infarction;1
I64;Schlaganfall, nicht als Blutung oder Infarkt bezeichnet;Stroke, not specified as haemorrhage or infarction;1
I65;Verschluss und Stenose präzerebraler Arterien ohne resultierenden Hirninfarkt;Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction;1
I66;Verschluss und Stenose zerebraler Arterien ohne resultierenden Hirninfarkt;Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction;4
I67;Sonstige zerebrovaskuläre Krankheiten;Other cerebrovascular diseases;1
I68;Zerebrovaskuläre Störungen bei anderenorts klassifizierten Krankheiten;Cerebrovascular disorders in diseases classified elsewhere;4
I69;Folgen einer zerebrovaskulären Krankheit;Sequelae of cerebrovascular disease;1
I70;Atherosklerose;Atherosclerosis;1
I71;Aortenaneurysma und -dissektion;Aortic aneurysm and dissection;1
I72;Sonstiges Aneurysma und sonstige Dissektion;Other aneurysm;1
I73;Sonstige periphere Gefäßkrankheiten;Other peripheral vascular diseases;1
I74;Arterielle Embolie und Thrombose;Arterial embolism and thrombosis;1
I75;;Atheroembolism;
I76;;Septic arterial embolism;
I77;Sonstige Krankheiten der Arterien und Arteriolen;Other disorders of arteries and arterioles;1
I78;Krankheiten der Kapillaren;Diseases of capillaries;3
I79;Krankheiten der Arterien, Arteriolen und Kapillaren bei anderenorts klassifizierten Krankheiten;Disorders of arteries, arterioles and capillaries in diseases classified elsewhere;1
I80;Thrombose, Phlebitis und Thrombophlebitis;Phlebitis and thrombophlebitis;1
I81;Pfortaderthrombose;Portal vein thrombosis;4
I82;Sonstige venöse Embolie und Thrombose;Other venous embolism and thrombosis;1
I83;Varizen der unteren Extremitäten;Varicose veins of lower extremities;1
I84;Hämorrhoiden;Haemorrhoids;3
I85;Ösophagusvarizen;Esophageal varices;4
I86;Varizen sonstiger Lokalisationen;Varicose veins of other sites;4
I87;Sonstige Venenkrankheiten;Other disorders of veins;1
I88;Unspezifische Lymphadenitis;Nonspecific lymphadenitis;0
I89;Sonstige nichtinfektiöse Krankheiten der Lymphgefäße und Lymphknoten;Other noninfective disorders of lymphatic vessels and lymph nodes;1
I95;Hypotonie;Hypotension;1
I96;;Gangrene, not elsewhere classified;
I97;Kreislaufkomplikationen nach medizinischen Maßnahmen, anderenorts nichtklassifiziert;Intraoperative and postprocedural complications and disorders of circulatory system, not elsewhere classified;4
I98;Sonstige Störungen des Kreislaufsystems bei anderenorts klassifiziertenKrankheiten;Other disorders of circulatory system in diseases classified elsewhere;4
I99;Sonstige und nicht näher bezeichnete Krankheiten des Kreislaufsystems;Other and unspecified disorders of circulatory system;3
J00;Akute Rhinopharyngitis [Erkältungsschnupfen];Acute nasopharyngitis [common cold];0
J01;Akute Sinusitis;Acute sinusitis;3
J02;Akute Pharyngitis;Acute pharyngitis;0
J03;Akute Tonsillitis;Acute tonsillitis;0
J04;Akute Laryngitis und Tracheitis;Acute laryngitis and tracheitis;0
J05;Akute obstruktive Laryngitis [Krupp] und Epiglottitis;Acute obstructive laryngitis [croup] and epiglottitis;0
J06;Akute Infektionen an mehreren oder nicht näher bezeichneten Lokalisationen der oberen Atemwege;Acute upper respiratory infections of multiple and unspecified sites;0
J09;Grippe durch nachgewiesene Vogelgrippe-Viren;Influenza due to certain identified influenza viruses;4
J10;Grippe durch sonstige nachgewiesene Influenzaviren;Influenza due to other identified influenza virus;4
J11;Grippe, Viren nicht nachgewiesen;Influenza due to unidentified influenza virus;0
J12;Viruspneumonie, anderenorts nicht klassifiziert;Viral pneumonia, not elsewhere classified;4
J13;Pneumonie durch Streptococcus pneumoniae;Pneumonia due to Streptococcus pneumoniae;1
J14;Pneumonie durch Haemophilus influenzae;Pneumonia due to Hemophilus influenzae;
J15;Pneumonie durch Bakterien, anderenorts nicht klassifiziert;Bacterial pneumonia, not elsewhere classified;1
J16;Pneumonie durch sonstige Infektionserreger, anderenorts nicht klassifiziert;Pneumonia due to other infectious organisms, not elsewhere classified;4
J17;Pneumonie bei anderenorts klassifizierten Krankheiten;Pneumonia in diseases classified elsewhere;4
J18;Pneumonie, Erreger nicht näher bezeichnet;Pneumonia, unspecified organism;1
J20;Akute Bronchitis;Acute bronchitis;0
J21;Akute Bronchiolitis;Acute bronchiolitis;4
J22;Akute Infektion der unteren Atemwege, nicht näher bezeichnet;Unspecified acute lower respiratory infection;0
J30;Vasomotorische und allergische Rhinopathie;Vasomotor and allergic rhinitis;0
J31;Chronische Rhinitis, Rhinopharyngitis und Pharyngitis;Chronic rhinitis, nasopharyngitis and pharyngitis;0
J32;Chronische Sinusitis;Chronic sinusitis;3
J33;Nasenpolyp;Nasal polyp;0
J34;Sonstige Krankheiten der Nase und der Nasennebenhöhlen;Other and unspecified disorders of nose and nasal sinuses;3
J35;Chronische Krankheiten der Gaumenmandeln und der Rachenmandel;Chronic diseases of tonsils and adenoids;0
J36;Peritonsillarabszess;Peritonsillar abscess;4
J37;Chronische Laryngitis und Laryngotracheitis;Chronic laryngitis and laryngotracheitis;3
J38;Krankheiten der Stimmlippen und des Kehlkopfes, anderenorts nicht klassifiziert;Diseases of vocal cords and larynx, not elsewhere classified;0
J39;Sonstige Krankheiten der oberen Atemwege;Other diseases of upper respiratory tract;4
J40;Bronchitis, nicht als akut oder chronisch bezeichnet;Bronchitis, not specified as acute or chronic;0
J41;Einfache und schleimig-eitrige chronische Bronchitis;Simple and mucopurulent chronic bronchitis;3
J42;Nicht näher bezeichnete chronische Bronchitis;Unspecified chronic bronchitis;0
J43;Emphysem;Emphysema;1
J44;Sonstige chronische obstruktive Lungenkrankheit;Other chronic obstructive pulmonary disease;1
J45;Asthma bronchiale;Asthma;0
J46;Status asthmaticus;Status asthmaticus;4
J47;Bronchiektasen;Bronchiectasis;4
J60;Kohlenbergarbeiter-Pneumokoniose;Coalworker's pneumoconiosis;1
J61;Pneumokoniose durch Asbest und sonstige anorganische Fasern;Pneumoconiosis due to asbestos and other mineral fibers;4
J62;Pneumokoniose durch Quarzstaub;Pneumoconiosis due to dust containing silica;4
J63;Pneumokoniose durch sonstige anorganische Stäube;Pneumoconiosis due to other inorganic dusts;4
J64;Nicht näher bezeichnete Pneumokoniose;Unspecified pneumoconiosis;3
J65;Pneumokoniose in Verbindung mit Tuberkulose;Pneumoconiosis associated with tuberculosis;
J66;Krankheit der Atemwege durch spezifischen organischen Staub;Airway disease due to specific organic dust;
J67;Allergische Alveolitis durch organischen Staub;Hypersensitivity pneumonitis due to organic dust;4
J68;Krankheiten der Atmungsorgane durch Einatmen von chemischen Substanzen,Gasen, Rauch und Dämpfen;Respiratory conditions due to inhalation of chemicals, gases, fumes and vapors;4
J69;Pneumonie durch feste und flüssige Substanzen;Pneumonitis due to solids and liquids;1
J70;Krankheiten der Atmungsorgane durch sonstige exogene Substanzen;Respiratory conditions due to other external agents;4
J80;Atemnotsyndrom des Erwachsenen [ARDS];Acute respiratory distress syndrome;4
J81;Lungenödem;Pulmonary edema;1
J82;Eosinophiles Lungeninfiltrat, anderenorts nicht klassifiziert;Pulmonary eosinophilia, not elsewhere classified;4
J84;Sonstige interstitielle Lungenkrankheiten;Other interstitial pulmonary diseases;4
J85;Abszess der Lunge und des Mediastinums;Abscess of lung and mediastinum;4
J86;Pyothorax;Pyothorax;4
J90;Pleuraerguss, anderenorts nicht klassifiziert;Pleural effusion, not elsewhere classified;1
J91;Pleuraerguss bei anderenorts klassifizierten Krankheiten;Pleural effusion in conditions classified elsewhere;1
J92;Pleuraplaques;Pleural plaque;4
J93;Pneumothorax;Pneumothorax and air leak;4
J94;Sonstige Krankheitszustände der Pleura;Other pleural conditions;4
J95;Krankheiten der Atemwege nach medizinischen Maßnahmen, anderenorts nichtklassifiziert;Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified;1
J96;Respiratorische Insuffizienz, anderenorts nicht klassifiziert;Respiratory failure, not elsewhere classified;1
J98;Sonstige Krankheiten der Atemwege;Other respiratory disorders;0
J99;Krankheiten der Atemwege bei anderenorts klassifizierten Krankheiten;Respiratory disorders in diseases classified elsewhere;4
K00;Störungen der Zahnentwicklung und des Zahndurchbruchs;Disorders of tooth development and eruption;0
K01;Retinierte und impaktierte Zähne;Embedded and impacted teeth;0
K02;Zahnkaries;Dental caries;0
K03;Sonstige Krankheiten der Zahnhartsubstanzen;Other diseases of hard tissues of teeth;4
K04;Krankheiten der Pulpa und des periapikalen Gewebes;Diseases of pulp and periapical tissues;4
K05;Gingivitis und Krankheiten des Parodonts;Gingivitis and periodontal diseases;4
K06;Sonstige Krankheiten der Gingiva und des zahnlosen Alveolarkammes;Other disorders of gingiva and edentulous alveolar ridge;4
K07;Dentofaziale Anomalien [einschließlich fehlerhafter Okklusion];Dentofacial anomalies [including malocclusion];0
K08;Sonstige Krankheiten der Zähne und des Zahnhalteapparates;Other disorders of teeth and supporting structures;4
K09;Zysten der Mundregion, anderenorts nicht klassifiziert;Cysts of oral region, not elsewhere classified;4
K10;Sonstige Krankheiten der Kiefer;Other diseases of jaws;4
K11;Krankheiten der Speicheldrüsen;Diseases of salivary glands;4
K12;Stomatitis und verwandte Krankheiten;Stomatitis and related lesions;0
K13;Sonstige Krankheiten der Lippe und der Mundschleimhaut;Other diseases of lip and oral mucosa;4
K14;Krankheiten der Zunge;Diseases of tongue;3
K20;Ösophagitis;Esophagitis;4
K21;Gastroösophageale Refluxkrankheit;Gastro-esophageal reflux disease;3
K22;Sonstige Krankheiten des Ösophagus;Other diseases of esophagus;4
K23;Krankheiten des Ösophagus bei anderenorts klassifizierten Krankheiten;Disorders of esophagus in diseases classified elsewhere;
K25;Ulcus ventriculi;Gastric ulcer;1
K26;Ulcus duodeni;Duodenal ulcer;1
K27;Ulcus pepticum, Lokalisation nicht näher bezeichnet;Peptic ulcer, site unspecified;4
K28;Ulcus pepticum jejuni;Gastrojejunal ulcer;4
K29;Gastritis und Duodenitis;Gastritis and duodenitis;3
K30;Funktionelle Dyspepsie;Functional dyspepsia;3
K31;Sonstige Krankheiten des Magens und des Duodenums;Other diseases of stomach and duodenum;3
K35;Akute Appendizitis;Acute appendicitis;0
K36;Sonstige Appendizitis;Other appendicitis;0
K37;Nicht näher bezeichnete Appendizitis;Unspecified appendicitis;4
K38;Sonstige Krankheiten der Appendix;Other diseases of appendix;4
K40;Hernia inguinalis;Inguinal hernia;0
K41;Hernia femoralis;Femoral hernia;4
K42;Hernia umbilicalis;Umbilical hernia;4
K43;Hernia ventralis;Ventral hernia;4
K44;Hernia diaphragmatica;Diaphragmatic hernia;3
K45;Sonstige abdominale Hernien;Other abdominal hernia;4
K46;Nicht näher bezeichnete abdominale Hernie;Unspecified abdominal hernia;4
K50;Crohn-Krankheit [Enteritis regionalis] [Morbus Crohn];Crohn's disease [regional enteritis];4
K51;Colitis ulcerosa;Ulcerative colitis;4
K52;Sonstige nichtinfektiöse Gastroenteritis und Kolitis;Other and unspecified noninfective gastroenteritis and colitis;0
K55;Gefäßkrankheiten des Darmes;Vascular disorders of intestine;4
K56;Paralytischer Ileus und mechanischer Ileus ohne Hernie;Paralytic ileus and intestinal obstruction without hernia;1
K57;Divertikulose des Darmes;Diverticular disease of intestine;3
K58;Reizdarmsyndrom;Irritable bowel syndrome;3
K59;Sonstige funktionelle Darmstörungen;Other functional intestinal disorders;1
K60;Fissur und Fistel in der Anal- und Rektalregion;Fissure and fistula of anal and rectal regions;3
K61;Abszess in der Anal- und Rektalregion;Abscess of anal and rectal regions;4
K62;Sonstige Krankheiten des Anus und des Rektums;Other diseases of anus and rectum;3
K63;Sonstige Krankheiten des Darmes;Other diseases of intestine;3
K64;Hämorrhoiden und Perianalvenenthrombose;Hemorrhoids and perianal venous thrombosis;
K65;Peritonitis;Peritonitis;4
K66;Sonstige Krankheiten des Peritoneums;Other disorders of peritoneum;3
K67;Krankheiten des Peritoneums bei anderenorts klassifizierten Infektionskrankheiten;Disorders of peritoneum in infectious diseases classified elsewhere;1
K68;;Disorders of retroperitoneum;
K70;Alkoholische Leberkrankheit;Alcoholic liver disease;4
K71;Toxische Leberkrankheit;Toxic liver disease;4
K72;Leberversagen, anderenorts nicht klassifiziert;Hepatic failure, not elsewhere classified;4
K73;Chronische Hepatitis, anderenorts nicht klassifiziert;Chronic hepatitis, not elsewhere classified;4
K74;Fibrose und Zirrhose der Leber;Fibrosis and cirrhosis of liver;4
K75;Sonstige entzündliche Leberkrankheiten;Other inflammatory liver diseases;4
K76;Sonstige Krankheiten der Leber;Other diseases of liver;3
K77;Leberkrankheiten bei anderenorts klassifizierten Krankheiten;Liver disorders in diseases classified elsewhere;4
K80;Cholelithiasis;Cholelithiasis;4
K81;Cholezystitis;Cholecystitis;4
K82;Sonstige Krankheiten der Gallenblase;Other diseases of gallbladder;4
K83;Sonstige Krankheiten der Gallenwege;Other diseases of biliary tract;4
K85;Akute Pankreatitis;Acute pancreatitis;4
K86;Sonstige Krankheiten des Pankreas;Other diseases of pancreas;4
